Control ID,Control Area,Primary Owner,Inherent Risk,NIST CSF 2.0,NIST SP 800-53 Rev. 5,CIS Controls v8,ISO/IEC 27001:2022,HIPAA Applicability,Workpaper,Evidence IDs
CTRL-CCM-001,Configuration Management Governance,Configuration Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-001,"EVD-CCM-001, EVD-CCM-003, EVD-CCM-028"
CTRL-CCM-002,Secure Configuration Baselines and Gold Images,Security Engineering Lead,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-002,"EVD-CCM-004, EVD-CCM-005"
CTRL-CCM-003,Configuration Standards and Hardening,Security Engineering Lead,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-003,"EVD-CCM-006, EVD-CCM-007"
CTRL-CCM-004,Change Management Governance,Change Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-004,"EVD-CCM-002, EVD-CCM-003"
CTRL-CCM-005,Standard and Normal Change Process,Change Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-005,"EVD-CCM-008, EVD-CCM-009, EVD-CCM-010"
CTRL-CCM-006,Emergency Change Management,Change Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-006,"EVD-CCM-011, EVD-CCM-012"
CTRL-CCM-007,Configuration Drift and Unauthorized Change Detection,Configuration Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-007,"EVD-CCM-013, EVD-CCM-014, EVD-CCM-028"
CTRL-CCM-008,Infrastructure as Code and Policy as Code,DevSecOps Lead,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-008,"EVD-CCM-015, EVD-CCM-016"
CTRL-CCM-009,Cloud Configuration and Change Management,Cloud Security Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-009,"EVD-CCM-017, EVD-CCM-018"
CTRL-CCM-010,Network Device Configuration Management,Network Engineering Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-010,"EVD-CCM-019, EVD-CCM-020"
CTRL-CCM-011,Database Configuration and Change Management,Database Administration Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-011,"EVD-CCM-021, EVD-CCM-022"
CTRL-CCM-012,Endpoint and Server Configuration Management,Endpoint Engineering Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-012,"EVD-CCM-023, EVD-CCM-024"
CTRL-CCM-013,Configuration Monitoring and Continuous Compliance,Security Operations Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-013,"EVD-CCM-007, EVD-CCM-025"
CTRL-CCM-014,Configuration Exceptions and Risk Acceptance,Enterprise Risk Manager,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-014,"EVD-CCM-026, EVD-CCM-027"
CTRL-CCM-015,"Metrics, Reporting, and Continuous Improvement",Chief Information Security Officer,High,GV; PR; DE; IM,CM-1; CM-2; CM-3; CM-5; CM-6; CM-8; CA-7,4; 6; 8,A.5.15; A.8.9; A.8.16; A.8.32,Applicable based on systems and ePHI impact,WP-CCM-015,"EVD-CCM-029, EVD-CCM-030"
