Control ID,Control Area,Primary Owner,Inherent Risk,NIST CSF 2.0,NIST SP 800-53 Rev. 5,NIST SP 800-34,CIS Controls v8,ISO/IEC 27001:2022,HIPAA Applicability,Workpaper,Evidence IDs
CTRL-BCDR-001,BC/DR Governance,BC/DR Program Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-001,"EVD-BCDR-001, EVD-BCDR-002, EVD-BCDR-003"
CTRL-BCDR-002,Business Impact Analysis,Business Continuity Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-002,"EVD-BCDR-004, EVD-BCDR-005"
CTRL-BCDR-003,Critical Business Processes and Dependencies,Business Continuity Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-003,"EVD-BCDR-006, EVD-BCDR-007"
CTRL-BCDR-004,Recovery Time Objectives,Business Continuity Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-004,EVD-BCDR-008
CTRL-BCDR-005,Recovery Point Objectives,Business Continuity Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-005,EVD-BCDR-009
CTRL-BCDR-006,Business Continuity Plans and Clinical Downtime,Business Continuity Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-006,"EVD-BCDR-010, EVD-BCDR-011"
CTRL-BCDR-007,Disaster Recovery Plans and Runbooks,Disaster Recovery Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-007,"EVD-BCDR-012, EVD-BCDR-013"
CTRL-BCDR-008,Backup Strategy and Data Protection,Infrastructure / Backup Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-008,"EVD-BCDR-014, EVD-BCDR-015, EVD-BCDR-016"
CTRL-BCDR-009,Backup Validation and Restore Testing,Infrastructure / Backup Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-009,"EVD-BCDR-017, EVD-BCDR-018"
CTRL-BCDR-010,Alternate Processing and Workplace Recovery,Facilities / Infrastructure Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-010,"EVD-BCDR-019, EVD-BCDR-020"
CTRL-BCDR-011,Crisis Management and Communications,Crisis Management Lead,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-011,"EVD-BCDR-021, EVD-BCDR-022"
CTRL-BCDR-012,Tabletop Exercises and Simulations,BC/DR Program Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-012,EVD-BCDR-023
CTRL-BCDR-013,Technical Recovery Testing and Failover,Disaster Recovery Manager,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-013,"EVD-BCDR-024, EVD-BCDR-025"
CTRL-BCDR-014,Third-Party and Cloud Continuity Management,Vendor Management / Cloud Security,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-014,"EVD-BCDR-026, EVD-BCDR-027, EVD-BCDR-028"
CTRL-BCDR-015,"Metrics, Assurance, and Continuous Improvement",Chief Information Security Officer,High,GV; PR; RS; RC; IM,CP-1; CP-2; CP-4; CP-6; CP-7; CP-8; CP-9; CP-10; IR-4; PM-8,Applicable,11; 17,A.5.29; A.5.30; A.8.13; A.8.14,45 CFR §164.308(a)(7) and related safeguards,WP-BCDR-015,"EVD-BCDR-029, EVD-BCDR-030"
