Control ID,Control Area,Primary Owner,Inherent Risk,NIST CSF 2.0,NIST SP 800-53 Rev. 5,CIS Controls v8,ISO/IEC 27001:2022,HIPAA Applicability,Workpaper,Evidence IDs
CTRL-PES-001,Physical Security Governance,Security Director,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-001,"EVD-PES-001, EVD-PES-002, EVD-PES-003"
CTRL-PES-002,"Facility Perimeter, Zoning, and Restricted Areas",Security Director,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-002,"EVD-PES-004, EVD-PES-005"
CTRL-PES-003,"Physical Access Credentials, Badges, and Keys",Physical Access Administrator,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-003,"EVD-PES-006, EVD-PES-007"
CTRL-PES-004,"Visitor, Contractor, and Vendor Access",Security Operations Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-004,"EVD-PES-008, EVD-PES-009"
CTRL-PES-005,"CCTV, Alarm Monitoring, and Surveillance",Security Operations / CCTV Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-005,"EVD-PES-010, EVD-PES-011"
CTRL-PES-006,"Data Center, Server Room, and Network Closet Security",Infrastructure / Network Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-006,"EVD-PES-012, EVD-PES-013"
CTRL-PES-007,Environmental Monitoring and Hazard Detection,Facilities Director,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-007,"EVD-PES-014, EVD-PES-015"
CTRL-PES-008,"Power, UPS, Generator, and Fuel Resilience",Facilities Engineering Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-008,"EVD-PES-016, EVD-PES-017"
CTRL-PES-009,"Cooling, HVAC, and Environmental Resilience",Facilities Engineering Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-009,EVD-PES-018
CTRL-PES-010,"Fire Detection, Suppression, and Life Safety",Facilities / Safety Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-010,"EVD-PES-019, EVD-PES-020"
CTRL-PES-011,"Media, Records, and Equipment Physical Protection",IT Asset / Records Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-011,"EVD-PES-021, EVD-PES-022"
CTRL-PES-012,Medical Device and Clinical Equipment Physical Security,Clinical Engineering Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-012,"EVD-PES-023, EVD-PES-024"
CTRL-PES-013,"Loading Dock, Mailroom, Delivery, and Storage Security",Facilities / Supply Chain Manager,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-013,EVD-PES-025
CTRL-PES-014,Physical Security Incident and Emergency Response,Security Director,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-014,"EVD-PES-026, EVD-PES-027, EVD-PES-028"
CTRL-PES-015,"Metrics, Inspections, and Continuous Improvement",Chief Information Security Officer,High,GV; PR; DE; RS; RC; IM,PE-1 through PE-23; CP-6; CP-7; MP-2; MA-2,Applicable supporting safeguards,A.7.1 through A.7.14; A.8.13; A.8.14,45 CFR §164.310 and related safeguards,WP-PES-015,"EVD-PES-029, EVD-PES-030"
