Control ID,Control Area,Owner,Inherent Risk,NIST CSF,NIST 800-53,CIS,ISO 27001,CSA CCM,HIPAA,Workpaper,Evidence IDs
CTRL-CLD-001,Cloud Security Governance,Cloud Security Manager,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-001,"EVD-CLD-001, EVD-CLD-002"
CTRL-CLD-002,"Cloud Accounts, Landing Zones, and Guardrails",Cloud Platform Architect,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-002,"EVD-CLD-003, EVD-CLD-004"
CTRL-CLD-003,Cloud Identity and Privileged Access,IAM / Cloud Identity Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-003,"EVD-CLD-005, EVD-CLD-006"
CTRL-CLD-004,Cloud Network Security and Exposure Management,Cloud Network Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-004,"EVD-CLD-007, EVD-CLD-008"
CTRL-CLD-005,"Cloud Data Protection, Encryption, Keys, and Secrets",Data Security / Privacy Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-005,"EVD-CLD-009, EVD-CLD-010, EVD-CLD-030"
CTRL-CLD-006,Cloud Security Posture Management and Benchmarks,Cloud Security Manager,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-006,"EVD-CLD-011, EVD-CLD-012"
CTRL-CLD-007,Cloud Workload Protection and Vulnerability Management,Cloud Security / SecOps,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-007,EVD-CLD-013
CTRL-CLD-008,Container and Kubernetes Security,DevSecOps Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-008,EVD-CLD-014
CTRL-CLD-009,"Serverless, API, and PaaS Security",Application Security / Cloud Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-009,EVD-CLD-015
CTRL-CLD-010,"Cloud Logging, Monitoring, and Detection",Security Operations Manager,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-010,"EVD-CLD-016, EVD-CLD-017"
CTRL-CLD-011,"Cloud Backup, Resilience, and Recovery",Cloud Infrastructure Manager,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-011,"EVD-CLD-018, EVD-CLD-019"
CTRL-CLD-012,Infrastructure as Code and Cloud Change Management,DevSecOps Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-012,"EVD-CLD-020, EVD-CLD-021"
CTRL-CLD-013,SaaS Security and Third-Party Cloud Governance,SaaS / Vendor Management Lead,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-013,"EVD-CLD-022, EVD-CLD-023, EVD-CLD-030"
CTRL-CLD-014,Cloud Incident Response and Forensic Readiness,Incident Response Manager,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-014,"EVD-CLD-024, EVD-CLD-025"
CTRL-CLD-015,"Cloud Risk, Metrics, and Continuous Improvement",Chief Information Security Officer,High,GV; PR; DE; RS; RC,AC; AU; CA; CM; CP; IA; RA; SA; SC; SI,3; 4; 5; 6; 8; 11; 13; 16,A.5; A.8,Applicable,Applicable,WP-CLD-015,"EVD-CLD-026, EVD-CLD-027, EVD-CLD-028, EVD-CLD-029"
