Control ID,Control Area,Owner,Inherent Risk,HIPAA,HITECH,NIST Privacy Framework,NIST 800-53,ISO 27701,ISO 27001,State/International Applicability,Workpaper,Evidence IDs
CTRL-PRC-001,Privacy Governance and Accountability,Chief Privacy Officer,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-001,"EVD-PRC-001, EVD-PRC-002"
CTRL-PRC-002,Regulatory Obligations and Change Management,Compliance / Legal,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-002,"EVD-PRC-003, EVD-PRC-004"
CTRL-PRC-003,"Data Inventory, Processing Records, and Data Flows",Data Governance Lead,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-003,"EVD-PRC-005, EVD-PRC-006"
CTRL-PRC-004,"Privacy Notices, Consent, Authorization, and Preferences",Privacy / Clinical Operations,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-004,"EVD-PRC-007, EVD-PRC-008"
CTRL-PRC-005,"Minimum Necessary, Use, Disclosure, and Accounting",Privacy Office / HIM,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-005,"EVD-PRC-009, EVD-PRC-010"
CTRL-PRC-006,Individual Privacy Rights,Privacy / HIM,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-006,"EVD-PRC-011, EVD-PRC-012"
CTRL-PRC-007,"Data Retention, Legal Hold, and Secure Disposal",Records Management / Legal,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-007,"EVD-PRC-013, EVD-PRC-014"
CTRL-PRC-008,"De-Identification, Research, Analytics, and Secondary Use",Privacy / Research,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-008,"EVD-PRC-015, EVD-PRC-016"
CTRL-PRC-009,Privacy by Design and Privacy Impact Assessments,Privacy Office,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-009,"EVD-PRC-017, EVD-PRC-018"
CTRL-PRC-010,Third-Party Privacy and Business Associate Management,Vendor Management / Legal,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-010,"EVD-PRC-019, EVD-PRC-020"
CTRL-PRC-011,"Data Residency, Cross-Border Transfer, and Jurisdiction",Privacy / Legal,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-011,"EVD-PRC-021, EVD-PRC-022"
CTRL-PRC-012,"Privacy Incidents, Complaints, and Breach Notification",Chief Privacy Officer,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-012,"EVD-PRC-023, EVD-PRC-024"
CTRL-PRC-013,"Workforce Privacy, Training, and Sanctions",Human Resources / Privacy,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-013,EVD-PRC-025
CTRL-PRC-014,"Compliance Monitoring, Audits, and Regulatory Response",Compliance / Internal Audit,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-014,"EVD-PRC-026, EVD-PRC-027"
CTRL-PRC-015,"Privacy Risk, Metrics, and Continuous Improvement",Chief Privacy Officer,High,Applicable,Applicable,Applicable,AR; AP; DI; DM; IP; PT; TR and related controls,Applicable,Applicable,Assess by jurisdiction,WP-PRC-015,"EVD-PRC-028, EVD-PRC-029, EVD-PRC-030"
