Control ID,Control Area,Owner,Inherent Risk,NIST CSF,NIST 800-53,NIST 800-61,HIPAA,CIS Controls,ISO 27001/27035,Workpaper,Evidence IDs
CTRL-IRCM-001,Incident Response Governance,Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-001,"EVD-IRCM-001, EVD-IRCM-002"
CTRL-IRCM-002,Incident Response Plan and Playbook Management,Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-002,"EVD-IRCM-003, EVD-IRCM-004"
CTRL-IRCM-003,"Incident Reporting, Intake, and Case Management",SOC Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-003,"EVD-IRCM-005, EVD-IRCM-006"
CTRL-IRCM-004,"Incident Classification, Severity, and Escalation",Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-004,"EVD-IRCM-006, EVD-IRCM-007"
CTRL-IRCM-005,Incident Triage and Investigation,SOC Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-005,EVD-IRCM-008
CTRL-IRCM-006,Containment and Immediate Risk Reduction,Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-006,"EVD-IRCM-009, EVD-IRCM-030"
CTRL-IRCM-007,Eradication and Remediation,IT Operations Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-007,EVD-IRCM-010
CTRL-IRCM-008,"Recovery, Restoration, and Business Validation",IT Operations / BCDR Lead,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-008,"EVD-IRCM-011, EVD-IRCM-030"
CTRL-IRCM-009,Digital Forensics and Evidence Handling,Digital Forensics Lead,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-009,"EVD-IRCM-012, EVD-IRCM-013"
CTRL-IRCM-010,Cyber Crisis Management and Communications,Crisis Management Lead,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-010,"EVD-IRCM-014, EVD-IRCM-015, EVD-IRCM-028, EVD-IRCM-029"
CTRL-IRCM-011,"Regulatory, Privacy, Legal, and Contractual Notification",Privacy / Legal / Compliance,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-011,"EVD-IRCM-016, EVD-IRCM-017, EVD-IRCM-028, EVD-IRCM-029"
CTRL-IRCM-012,Ransomware and Destructive Attack Response,Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-012,"EVD-IRCM-018, EVD-IRCM-019"
CTRL-IRCM-013,"Cloud, Third-Party, Insider, and Medical Device Incidents",Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-013,"EVD-IRCM-020, EVD-IRCM-021, EVD-IRCM-022, EVD-IRCM-030"
CTRL-IRCM-014,"Exercises, Simulations, and Readiness Validation",Incident Response Manager,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-014,"EVD-IRCM-023, EVD-IRCM-024"
CTRL-IRCM-015,"Lessons Learned, Metrics, and Continuous Improvement",Chief Information Security Officer,High,GV; DE; RS; RC; IM,IR; AU; CP; SI; RA; CA,Applicable,Applicable,17 and related safeguards,Applicable,WP-IRCM-015,"EVD-IRCM-025, EVD-IRCM-026, EVD-IRCM-027"
