Control ID,Control Area,Owner,Inherent Risk,NIST CSF,NIST 800-53,NIST 800-207,HIPAA,CIS Controls,ISO 27001,Workpaper,Evidence IDs
CTRL-EANS-001,Enterprise Architecture Governance,Chief Architect,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-001,"EVD-EANS-001, EVD-EANS-002"
CTRL-EANS-002,"Current-State, Target-State, and Reference Architecture",Enterprise Architecture,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-002,"EVD-EANS-003, EVD-EANS-004"
CTRL-EANS-003,"Network Topology, Segmentation, and Trust Zones",Network Security Lead,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-003,"EVD-EANS-005, EVD-EANS-006, EVD-EANS-030"
CTRL-EANS-004,"Perimeter Security, Firewalls, Proxies, and Egress",Network Security Lead,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-004,"EVD-EANS-007, EVD-EANS-008"
CTRL-EANS-005,"Internal Network Security, NAC, and Microsegmentation",Network Security Lead,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-005,EVD-EANS-009
CTRL-EANS-006,"Remote Access, VPN, and Zero Trust Network Access",IAM / Network Security Lead,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-006,"EVD-EANS-010, EVD-EANS-011"
CTRL-EANS-007,"Wireless, Guest, Clinical, and Medical Device Networks",Wireless / Clinical Network Lead,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-007,"EVD-EANS-012, EVD-EANS-013, EVD-EANS-030"
CTRL-EANS-008,"DNS, DHCP, IPAM, Routing, and Switching Security",Network Engineering Manager,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-008,EVD-EANS-014
CTRL-EANS-009,"Network Resilience, Redundancy, and Availability",Network Engineering Manager,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-009,EVD-EANS-015
CTRL-EANS-010,"Cloud, Hybrid, SD-WAN, and SASE Connectivity",Cloud / Network Architect,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-010,EVD-EANS-016
CTRL-EANS-011,"Third-Party, Partner, and External Connectivity",Vendor / Network Management,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-011,"EVD-EANS-017, EVD-EANS-018"
CTRL-EANS-012,"Network Monitoring, Telemetry, and Detection",Security Operations Manager,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-012,"EVD-EANS-019, EVD-EANS-020"
CTRL-EANS-013,Network Device Hardening and Configuration Compliance,Network Engineering Manager,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-013,"EVD-EANS-021, EVD-EANS-022"
CTRL-EANS-014,"Network Asset, Vulnerability, Lifecycle, and Change Management",Network Engineering Manager,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-014,"EVD-EANS-023, EVD-EANS-024, EVD-EANS-025"
CTRL-EANS-015,"Architecture Risk, Exceptions, Metrics, and Improvement",Chief Information Security Officer,High,GV; ID; PR; DE; RS; RC; IM,AC; AU; CA; CM; CP; IA; RA; SC; SI,Applicable,Applicable,3; 4; 6; 8; 12; 13,Applicable,WP-EANS-015,"EVD-EANS-026, EVD-EANS-027, EVD-EANS-028, EVD-EANS-029"
