Control ID,Control Area,Owner,Inherent Risk,NIST CSF,NIST 800-53,HIPAA,CIS Controls,ISO 27001,COBIT,Workpaper,Evidence IDs
CTRL-SMG-001,Cybersecurity Governance Structure,Chief Information Security Officer,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-001,"EVD-SMG-001, EVD-SMG-002"
CTRL-SMG-002,Cybersecurity Strategy and Business Alignment,Chief Information Security Officer,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-002,"EVD-SMG-003, EVD-SMG-004"
CTRL-SMG-003,"Roles, Responsibilities, and Accountability",CISO / Human Resources,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-003,"EVD-SMG-005, EVD-SMG-006"
CTRL-SMG-004,Policy Governance and Document Lifecycle,Policy Governance Lead,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-004,"EVD-SMG-007, EVD-SMG-008"
CTRL-SMG-005,"Cyber Risk Appetite, Tolerance, and Acceptance",Enterprise Risk Manager,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-005,"EVD-SMG-009, EVD-SMG-010"
CTRL-SMG-006,Security Metrics Design and Data Governance,GRC / Security Metrics Lead,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-006,"EVD-SMG-011, EVD-SMG-012"
CTRL-SMG-007,Board and Executive Cybersecurity Reporting,Chief Information Security Officer,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-007,"EVD-SMG-013, EVD-SMG-014"
CTRL-SMG-008,Cybersecurity Budget and Investment Governance,CISO / Finance,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-008,"EVD-SMG-015, EVD-SMG-016"
CTRL-SMG-009,"Workforce, Skills, and Capacity Governance",CISO / Human Resources,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-009,"EVD-SMG-017, EVD-SMG-018"
CTRL-SMG-010,"Audit, Findings, POA&M, and Corrective Action Oversight",GRC / Internal Audit,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-010,"EVD-SMG-019, EVD-SMG-020"
CTRL-SMG-011,"Integrated Regulatory, Privacy, and Third-Party Governance",Compliance / Privacy / Vendor Risk,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-011,"EVD-SMG-021, EVD-SMG-022"
CTRL-SMG-012,Security Steering Committees and Decision Management,Chief Information Security Officer,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-012,"EVD-SMG-023, EVD-SMG-024"
CTRL-SMG-013,"Risk Exceptions, Control Attestations, and Accountability",Enterprise Risk / GRC,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-013,"EVD-SMG-025, EVD-SMG-026"
CTRL-SMG-014,"Security Culture, Leadership, and Management Accountability",CISO / Human Resources,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-014,"EVD-SMG-027, EVD-SMG-028"
CTRL-SMG-015,"Maturity, Benchmarking, and Continuous Improvement",Chief Information Security Officer,High,GV; ID; IM,PM; PL; RA; CA and related,Applicable,Applicable,Clauses 5-10 and related,Applicable,WP-SMG-015,"EVD-SMG-029, EVD-SMG-030"
